chunk_id,document_id,text,source_file,title,document_type,chapter,section,article,clause,effective_date,status
chk_44209_0001,44209,"| NGÂN HÀNG NHÀ NƯỚCVIỆT NAM------- | CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAMĐộc lập - Tự do - Hạnh phúc--------------- |
| --- | --- |
| Số: 01/2014/TT-NHNN | Hà Nội, ngày 06 tháng 01 năm 2014 |",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,,,,,20/02/2014,Hết hiệu lực một phần
chk_44209_0002,44209,Chương I QUY ĐỊNH CHUNG,content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,Chương I QUY ĐỊNH CHUNG,,,,20/02/2014,Hết hiệu lực một phần
chk_44209_0003,44209,Điều 1. Phạm vi điều chỉnh,content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,Chương I QUY ĐỊNH CHUNG,,Điều 1. Phạm vi điều chỉnh,,20/02/2014,Hết hiệu lực một phần
chk_44209_0004,44209,"1. Thông tư này quy định việc giao nhận, bảo quản, vận chuyển; kiểm tra, kiểm kê, bàn giao, xử lý thừa thiếu tiền mặt, tài sản quý, giấy tờ có giá trong ngành Ngân hàng; việc thu, chi tiền mặt giữa Ngân hàng Nhà nước, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài và khách hàng.",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,Chương I QUY ĐỊNH CHUNG,,Điều 1. Phạm vi điều chỉnh,"1. Thông tư này quy định việc giao nhận, bảo quản, vận chuyển; kiểm tra, kiểm kê, bàn giao, xử lý thừa thiếu tiền mặt, tài sản quý, giấy tờ có giá trong ngành Ngân hàng; việc thu, chi tiền mặt giữa Ngân hàng Nhà nước, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài và khách hàng.",20/02/2014,Hết hiệu lực một phần
chk_44209_0005,44209,"2. Việc đóng gói, niêm phong, kiểm đếm, giao nhận vàng, các loại kim khí quý, đá quý và các tài sản quý khác không thuộc phạm vi điều chỉnh của Thông tư này.",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,Chương I QUY ĐỊNH CHUNG,,Điều 1. Phạm vi điều chỉnh,"2. Việc đóng gói, niêm phong, kiểm đếm, giao nhận vàng, các loại kim khí quý, đá quý và các tài sản quý khác không thuộc phạm vi điều chỉnh của Thông tư này.",20/02/2014,Hết hiệu lực một phần
chk_44209_0006,44209,Điều 2. Đối tượng áp dụng,content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,Chương I QUY ĐỊNH CHUNG,,Điều 2. Đối tượng áp dụng,,20/02/2014,Hết hiệu lực một phần
chk_44209_0007,44209,1. Ngân hàng Nhà nước Việt Nam (sau đây gọi tắt là Ngân hàng Nhà nước).,content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,Chương I QUY ĐỊNH CHUNG,,Điều 2. Đối tượng áp dụng,1. Ngân hàng Nhà nước Việt Nam (sau đây gọi tắt là Ngân hàng Nhà nước).,20/02/2014,Hết hiệu lực một phần
chk_44209_0008,44209,"2. Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài.",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,Chương I QUY ĐỊNH CHUNG,,Điều 2. Đối tượng áp dụng,"2. Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài.",20/02/2014,Hết hiệu lực một phần
chk_44209_0009,44209,"3. Khách hàng trong quan hệ giao dịch tiền mặt, tài sản quý, giấy tờ có giá với Ngân hàng Nhà nước, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài.",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,Chương I QUY ĐỊNH CHUNG,,Điều 2. Đối tượng áp dụng,"3. Khách hàng trong quan hệ giao dịch tiền mặt, tài sản quý, giấy tờ có giá với Ngân hàng Nhà nước, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài.",20/02/2014,Hết hiệu lực một phần
chk_44209_0010,44209,Điều 3. Giải thích từ ngữ,content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,Chương I QUY ĐỊNH CHUNG,,Điều 3. Giải thích từ ngữ,,20/02/2014,Hết hiệu lực một phần
chk_44209_0011,44209,"Trong Thông tư này, các từ ngữ dưới đây được hiểu như sau:",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,Chương I QUY ĐỊNH CHUNG,,Điều 3. Giải thích từ ngữ,,20/02/2014,Hết hiệu lực một phần
chk_44209_0012,44209,"1. “Tiền mặt” là các loại tiền giấy, tiền kim loại do Ngân hàng Nhà nước phát hành.",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,Chương I QUY ĐỊNH CHUNG,,Điều 3. Giải thích từ ngữ,"1. “Tiền mặt” là các loại tiền giấy, tiền kim loại do Ngân hàng Nhà nước phát hành.",20/02/2014,Hết hiệu lực một phần
chk_44209_0013,44209,2. “Tiền giấy” bao gồm tiền cotton và tiền polymer do Ngân hàng Nhà nước phát hành.,content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,Chương I QUY ĐỊNH CHUNG,,Điều 3. Giải thích từ ngữ,2. “Tiền giấy” bao gồm tiền cotton và tiền polymer do Ngân hàng Nhà nước phát hành.,20/02/2014,Hết hiệu lực một phần
chk_44209_0014,44209,"3. “Tài sản quý” bao gồm vàng, kim khí quý, đá quý, ngoại tệ tiền mặt và các loại tài sản quý khác.",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,Chương I QUY ĐỊNH CHUNG,,Điều 3. Giải thích từ ngữ,"3. “Tài sản quý” bao gồm vàng, kim khí quý, đá quý, ngoại tệ tiền mặt và các loại tài sản quý khác.",20/02/2014,Hết hiệu lực một phần
chk_44209_0015,44209,"4. “Giấy tờ có giá” bao gồm trái phiếu, tín phiếu và các loại giấy tờ có giá khác theo quy định của pháp luật.",content.csv,"Thông tư số 01/2014/TT-NHNN Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá",Thông tư,Chương I QUY ĐỊNH CHUNG,,Điều 3. Giải thích từ ngữ,"4. “Giấy tờ có giá” bao gồm trái phiếu, tín phiếu và các loại giấy tờ có giá khác theo quy định của pháp luật.",20/02/2014,Hết hiệu lực một phần
