entity_id,entity_type,canonical_name,original_name,source_doc_id,method,confidence,evidence
chucdanh_thu_tuong_chinh_phu,ChucDanh,Thủ tướng Chính phủ,Thủ tướng Chính phủ,112025,gemini,1.0,THỦ TƯỚNG CHÍNH PHỦ
coquan_chinh_phu,CoQuan,Chính phủ,Chính phủ,112025,gemini,1.0,CHÍNH PHỦ
doituongapdung_chi_nhanh_nuoc_ngoai,DoiTuongApDung,Chi nhánh nước ngoài,Chi nhánh nước ngoài,112025,gemini,1.0,b) Chi nhánh nước ngoài;
doituongapdung_cac_to_chuc_ca_nhan_khac_co_lien_quan,DoiTuongApDung,"Các tổ chức, cá nhân khác có liên quan","Các tổ chức, cá nhân khác có liên quan",112025,gemini,1.0,"d) Các tổ chức, cá nhân khác có liên quan."
doituongapdung_doanh_nghiep_bao_hiem,DoiTuongApDung,Doanh nghiệp bảo hiểm,Doanh nghiệp bảo hiểm,112025,gemini,1.0,a) Doanh nghiệp bảo hiểm;
doituongapdung_doanh_nghiep_moi_gioi_bao_hiem,DoiTuongApDung,Doanh nghiệp môi giới bảo hiểm,Doanh nghiệp môi giới bảo hiểm,112025,gemini,1.0,"c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
doituongapdung_dai_ly_bao_hiem,DoiTuongApDung,Đại lý bảo hiểm,Đại lý bảo hiểm,112025,gemini,1.0,"c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
linhvuc_tai_chinh,LinhVuc,Tài chính,Tài chính,112025,gemini,0.8,Theo đề nghị của Bộ trưởng Bộ Tài chính;
nganh_tai_chinh,Nganh,Tài chính,Tài chính,112025,gemini,0.9,Theo đề nghị của Bộ trưởng Bộ Tài chính;
nguoiky_nguyen_xuan_phuc,NguoiKy,Nguyễn Xuân Phúc,Nguyễn Xuân Phúc,112025,gemini,1.0,Nguyễn Xuân Phúc
chucdanh_thu_truong,ChucDanh,Thứ trưởng,Thứ trưởng,112924,gemini,1.0,THỨ TRƯỞNG
coquan_bo_tai_chinh,CoQuan,Bộ Tài chính,Bộ Tài chính,112924,gemini,1.0,BỘ TÀI CHÍNH
doituongapdung_cong_ty_dau_tu_chung_khoan,DoiTuongApDung,công ty đầu tư chứng khoán,công ty đầu tư chứng khoán,112924,gemini,1.0,"Thông tư này áp dụng đối với tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
doituongapdung_doanh_nghiep_kinh_doanh_bao_hiem,DoiTuongApDung,doanh nghiệp kinh doanh bảo hiểm,doanh nghiệp kinh doanh bảo hiểm,112924,gemini,1.0,"Thông tư này áp dụng đối với tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
doituongapdung_quy_dau_tu_chung_khoan,DoiTuongApDung,quỹ đầu tư chứng khoán,quỹ đầu tư chứng khoán,112924,gemini,1.0,"Thông tư này áp dụng đối với tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
doituongapdung_to_chuc_kinh_doanh_chung_khoan,DoiTuongApDung,tổ chức kinh doanh chứng khoán,tổ chức kinh doanh chứng khoán,112924,gemini,1.0,"Thông tư này áp dụng đối với tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
nganh_tai_chinh,Nganh,Tài chính,Tài chính,112924,gemini,1.0,BỘ TÀI CHÍNH
nguoiky_tran_xuan_ha,NguoiKy,Trần Xuân Hà,Trần Xuân Hà,112924,gemini,1.0,Trần Xuân Hà
chucdanh_pho_thong_doc,ChucDanh,Phó Thống đốc,Phó Thống đốc,117310,gemini,1.0,PHÓ THỐNG ĐỐC
coquan_ngan_hang_nha_nuoc_viet_nam,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,117310,gemini,1.0,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM
doituongapdung_chi_nhanh_ngan_hang_nuoc_ngoai,DoiTuongApDung,Chi nhánh ngân hàng nước ngoài,Chi nhánh ngân hàng nước ngoài,117310,gemini,1.0,b) Chi nhánh ngân hàng nước ngoài.
doituongapdung_ngan_hang,DoiTuongApDung,Ngân hàng,Ngân hàng,117310,gemini,1.0,"a) Ngân hàng: Ngân hàng thương mại nhà nước, ngân hàng thương mại cổ phần, ngân hàng liên doanh, ngân hàng 100% vốn nước ngoài;"
linhvuc_thanh_tra_giam_sat_ngan_hang,LinhVuc,"Thanh tra, giám sát ngân hàng","Thanh tra, giám sát ngân hàng",117310,gemini,0.9,"Theo đề nghị của Chánh Thanh tra, giám sát ngân hàng;"
nganh_ngan_hang,Nganh,Ngân hàng,Ngân hàng,117310,gemini,1.0,"Quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng nước ngoài"
nguoiky_nguyen_dong_tien,NguoiKy,Nguyễn Đồng Tiến,Nguyễn Đồng Tiến,117310,gemini,1.0,Nguyễn Đồng Tiến
chucdanh_thu_tuong_chinh_phu,ChucDanh,Thủ tướng Chính phủ,Thủ tướng Chính phủ,133858,gemini,1.0,THỦ TƯỚNG CHÍNH PHỦ
coquan_chinh_phu,CoQuan,Chính phủ,Chính phủ,133858,gemini,1.0,CHÍNH PHỦ
doituongapdung_cac_bo_co_quan_ngang_bo_co_quan_thuoc_chinh_phu,DoiTuongApDung,"Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ","Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ",133858,gemini,1.0,"a) Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ;"
doituongapdung_cac_doanh_nghiep,DoiTuongApDung,Các doanh nghiệp,Các doanh nghiệp,133858,gemini,1.0,d) Các doanh nghiệp;
doituongapdung_cac_to_chuc_ca_nhan_khac_co_lien_quan_den_hoat_dong_kiem_toan_noi_bo,DoiTuongApDung,"Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ","Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ",133858,gemini,1.0,"đ) Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ."
doituongapdung_cac_don_vi_su_nghiep_cong_lap,DoiTuongApDung,Các đơn vị sự nghiệp công lập,Các đơn vị sự nghiệp công lập,133858,gemini,1.0,c) Các đơn vị sự nghiệp công lập;
doituongapdung_uy_ban_nhan_dan_cac_tinh_thanh_pho_truc_thuoc_trung_uong,DoiTuongApDung,"Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương","Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương",133858,gemini,1.0,"b) Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương;"
linhvuc_kiem_toan_noi_bo,LinhVuc,Kiểm toán nội bộ,Kiểm toán nội bộ,133858,gemini,0.9,"Nghị định này quy định về công tác kiểm toán nội bộ trong các cơ quan nhà nước, đơn vị sự nghiệp công lập và các doanh nghiệp."
nganh_kiem_toan,Nganh,Kiểm toán,Kiểm toán,133858,gemini,0.9,"Nghị định này quy định về công tác kiểm toán nội bộ trong các cơ quan nhà nước, đơn vị sự nghiệp công lập và các doanh nghiệp."
nguoiky_nguyen_xuan_phuc,NguoiKy,Nguyễn Xuân Phúc,Nguyễn Xuân Phúc,133858,gemini,1.0,Nguyễn Xuân Phúc
chucdanh_thu_truong,ChucDanh,Thứ trưởng,Thứ trưởng,143217,gemini,1.0,THỨ TRƯỞNG
coquan_bo_tai_chinh,CoQuan,Bộ Tài chính,Bộ Tài chính,143217,gemini,1.0,BỘ TÀI CHÍNH
doituongapdung_cac_doanh_nghiep_khong_thuoc_quy_dinh_tai_khoan_1_dieu_nay,DoiTuongApDung,Các doanh nghiệp không thuộc quy định tại khoản 1 Điều này,Các doanh nghiệp không thuộc quy định tại khoản 1 Điều này,143217,gemini,1.0,Các doanh nghiệp không thuộc quy định tại khoản 1 Điều này được khuyến khích xây dựng Quy chế kiểm toán nội bộ trên cơ sở tham chiếu mẫu Quy chế kiểm toán nội bộ ban hành kèm theo Thông tư này.
doituongapdung_cac_doanh_nghiep_quy_dinh_tai_khoan_1_dieu_10_nghi_dinh_so_05_2019_nd_cp_ngay_22_thang_01_nam_2019_cua_chinh_phu_ve_kiem_toan_noi_bo,DoiTuongApDung,các doanh nghiệp quy định tại khoản 1 Điều 10 Nghị định số 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiếm toán nội bộ,các doanh nghiệp quy định tại khoản 1 Điều 10 Nghị định số 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiếm toán nội bộ,143217,gemini,1.0,Thông tư này áp dụng đối với các doanh nghiệp quy định tại khoản 1 Điều 10 Nghị định số 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiếm toán nội bộ.
nguoiky_do_hoang_anh_tuan,NguoiKy,Đỗ Hoàng Anh Tuấn,Đỗ Hoàng Anh Tuấn,143217,gemini,1.0,Đỗ Hoàng Anh Tuấn
chucdanh_thu_tuong,ChucDanh,Thủ tướng,Thủ tướng,146468,gemini,1.0,THỦ TƯỚNG
coquan_chinh_phu,CoQuan,Chính phủ,Chính phủ,146468,gemini,1.0,CHÍNH PHỦ
doituongapdung_cong_ty_chung_khoan_cong_ty_quan_ly_quy_dau_tu_chung_khoan,DoiTuongApDung,"Công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán","Công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán",146468,gemini,1.0,"g) Công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán, chi nhánh, văn phòng đại diện công ty chứng khoán, công ty quản lý quỹ nước ngoài tại Việt Nam, công ty đầu tư chứng khoán;"
doituongapdung_cong_ty_dai_chung,DoiTuongApDung,Công ty đại chúng,Công ty đại chúng,146468,gemini,1.0,a) Công ty đại chúng;
doituongapdung_doanh_nghiep_nha_nuoc,DoiTuongApDung,Doanh nghiệp nhà nước,Doanh nghiệp nhà nước,146468,gemini,1.0,"b) Doanh nghiệp nhà nước, công ty trách nhiệm hữu hạn một thành viên do doanh nghiệp nhà nước nắm giữ 100% vốn điều lệ, đơn vị sự nghiệp công lập cổ phần hóa dưới hình thức chào bán chứng khoán ra công chúng;"
doituongapdung_ngan_hang_thuong_mai,DoiTuongApDung,Ngân hàng thương mại,Ngân hàng thương mại,146468,gemini,1.0,"k) Ngân hàng thương mại, chi nhánh ngân hàng nước ngoài tại Việt Nam thực hiện hoạt động lưu ký, bù trừ, thanh toán giao dịch chứng khoán; ngân hàng giám sát;"
