source,target,relationship_type,method,confidence,evidence
95652,doituongapdung_cac_to_chuc_ca_nhan_khac_co_lien_quan,AP_DUNG_CHO,gemini,1.0,"Các tổ chức, cá nhân khác có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
95652,doituongapdung_cac_co_quan_quan_ly_nha_nuoc,AP_DUNG_CHO,gemini,1.0,Các cơ quan quản lý nhà nước tham gia quản lý hoạt động đầu tư gián tiếp ra nước ngoài theo quy định tại Nghị định này.
95652,doituongapdung_ca_nhan_co_quoc_tich_viet_nam,AP_DUNG_CHO,gemini,1.0,Cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài.
95652,coquan_chinh_phu,BAN_HANH_BOI,gemini,1.0,CHÍNH PHỦ
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,nguoiky_doan_thai_son,KY_BOI,gemini,1.0,PHÓ THỐNG ĐỐC Đoàn Thái Sơn
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,doituongapdung_van_phong_dai_dien_nuoc_ngoai,AP_DUNG_CHO,gemini,1.0,"3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,doituongapdung_ngan_hang_thuong_mai,AP_DUNG_CHO,gemini,1.0,1. Ngân hàng thương mại.
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,doituongapdung_cac_to_chuc_ca_nhan_co_lien_quan_den_ho_so_thu_tuc_cap_giay_phep_lan_dau_cua_ngan_hang_thuong_mai_chi_nhanh_ngan_hang_nuoc_ngoai_va_van_phong_dai_dien_nuoc_ngoai,AP_DUNG_CHO,gemini,1.0,"4. Các tổ chức, cá nhân có liên quan đến hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài và văn phòng đại diện nước ngoài."
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,doituongapdung_chi_nhanh_ngan_hang_nuoc_ngoai,AP_DUNG_CHO,gemini,1.0,2. Chi nhánh ngân hàng nước ngoài.
44209,nguoiky_dao_minh_tu,KY_BOI,gemini,1.0,Đào Minh Tú
44209,doituongapdung_to_chuc_tin_dung,AP_DUNG_CHO,gemini,1.0,"2. Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài."
44209,doituongapdung_ngan_hang_nha_nuoc_viet_nam,AP_DUNG_CHO,gemini,1.0,1. Ngân hàng Nhà nước Việt Nam (sau đây gọi tắt là Ngân hàng Nhà nước).
44209,doituongapdung_khach_hang_trong_quan_he_giao_dich_tien_mat_tai_san_quy_giay_to_co_gia,AP_DUNG_CHO,gemini,1.0,"3. Khách hàng trong quan hệ giao dịch tiền mặt, tài sản quý, giấy tờ có giá với Ngân hàng Nhà nước, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài."
44209,doituongapdung_chi_nhanh_ngan_hang_nuoc_ngoai,AP_DUNG_CHO,gemini,1.0,"2. Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài."
163441,112025,SUA_DOI_BO_SUNG,rule,1.0,"a) Nghị định số 73/2016/NĐ-CP ngày 01 tháng 7 năm 2016 của Chính phủ quy định chi tiết thi hành Luật Kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một số điều của Luật Kinh doanh bảo hiểm, trừ các Điều 10, 61, 62, 63, 64, 65, 66, 67."
f69936f0-6937-11f1-a48d-29bc6b0fd706,146468,SUA_DOI_BO_SUNG,rule,1.0,"Nghị định số 156/2020/NĐ-CP ngày 31 tháng 12 năm 2020 của Chính phủ quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán, có hiệu lực thi hành kể từ ngày 01 tháng 01 năm 2021, được sửa đổi, bổ sung bởi:"
169221,44209,SUA_DOI_BO_SUNG,rule,1.0,"Thay thế, bổ sung và bãi bỏ một số quy định của Thông tư số 01/2014/TT-NHNN"
27257,25692,THAM_CHIEU,rule,1.0,Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ngày 16 tháng 6 năm 2010;
30402,26750,THAM_CHIEU,rule,1.0,Căn cứ Luật Kiểm toán độc lập số 67/2011/QH12 ngày 29 tháng 3 năm 2011;
143217,133858,THAM_CHIEU,rule,1.0,Thông tư này áp dụng đối với các doanh nghiệp quy định tại khoản 1 Điều 10 Nghị định số 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiếm toán nội bộ.
186482,166170,SUA_DOI_BO_SUNG,rule,1.0,"Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15;"
186482,25692,THAM_CHIEU,rule,1.0,Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12;
117310,164719,THAY_THE_BOI,rule,1.0,"Thay thế Phụ lục 01, Phụ lục 02, Phụ lục 03, Phụ lục 04 và Phụ lục 06 của Thông tư số 41/2016/TT-NHNN bằng Phụ lục 01, Phụ lục 02, Phụ lục 03, Phụ lục 04 và Phụ lục 06 ban hành kèm theo Thông tư này."
164719,117310,SUA_DOI_BO_SUNG,rule,1.0,"Sửa đổi, bổ sung một số điều của Thông tư số  41/2016/TT-NHNN ngày 30 tháng 12 năm 2016 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng nước ngoài"
150974,133858,THAM_CHIEU,rule,1.0,"Chuẩn mực kiểm toán nội bộ Việt Nam và các nguyên tắc đạo đức nghề nghiệp kiểm toán nội bộ áp dụng đối với các doanh nghiệp, cơ quan nhà nước, đơn vị sự nghiệp công lập quy định tại Điều 8, Điều 9, Điều 10 Nghị định số 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiểm toán nội bộ và các tổ chức cá nhân có liên quan trong hoạt động kiểm toán nội bộ của các đơn vị này."
112924,95652,THAM_CHIEU,rule,1.0,"Ngoài các từ ngữ đã được giải thích trong Nghị định số 135/2015/NĐ-CP ngày 31/12/2015 của Chính phủ quy định về đầu tư gián tiếp ra nước ngoài (sau đây gọi là Nghị định số 135/2015/NĐ-CP ), trong Thông tư này, các từ ngữ dưới đây được hiểu như sau:"
186482,174218,SUA_DOI_BO_SUNG,rule,1.0,"SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA THÔNG TƯ SỐ 62/2024/TT-NHNN CỦA THỐNG ĐỐC NGÂN HÀNG NHÀ NƯỚC VIỆT NAM QUY ĐỊNH VỀ ĐIỀU KIỆN, HỒ SƠ, THỦ TỤC CHẤP THUẬN VIỆC TỔ CHỨC LẠI NGÂN HÀNG THƯƠNG MẠI, TỔ CHỨC TÍN DỤNG PHI NGÂN HÀNG"
185630,166269,THAM_CHIEU,rule,1.0,Căn cứ Luật Hợp tác xã số 17/2023/QH15;
185630,166170,SUA_DOI_BO_SUNG,rule,1.0,"Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15;"
185630,25692,THAM_CHIEU,rule,1.0,Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12;
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,173695,THAM_CHIEU,rule,1.0,"(Ban hành kèm theo Thông tư số 56/2024/TT-NHNN ngày 24 tháng 12 năm 2024 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài, văn phòng đại diện nước ngoài)"
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,173695,SUA_DOI_BO_SUNG,rule,1.0,"Thông tư số 56/2024/TT-NHNN ngày 24 tháng 12 năm 2024 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài, văn phòng đại diện nước ngoài, có hiệu lực kể từ ngày 24 tháng 12 năm 2024 được sửa đổi, bổ sung bởi:"
186888,27257,SUA_DOI_BO_SUNG,rule,1.0,"Thông tư này bãi bỏ Thông tư số 44/2011/TT-NHNN ngày 29 tháng 12 năm 2011 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định về hệ thống kiểm soát nội bộ và kiểm toán nội bộ của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài."
186888,166170,SUA_DOI_BO_SUNG,rule,1.0,"Căn cứ Luật Các tổ chức tín dụng số 32/2024/QH15 được sửa đổi, bổ sung bởi Luật số 96/2025/QH15;"
186888,25692,THAM_CHIEU,rule,1.0,Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12;
44209,25692,THAM_CHIEU,rule,1.0,Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ngày 16 tháng 6 năm 2010;
117310,25692,THAM_CHIEU,rule,1.0,Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ngày 16 tháng 6 năm 2010;
185630,177271,SUA_DOI_BO_SUNG,rule,1.0,"Bổ sung cụm từ “Mã định danh tổ chức (nếu có)” sau cụm từ “Tên viết tắt bằng tiếng Anh (nếu có)” tại phần “Tên quỹ tín dụng nhân dân” tại Phụ lục số 01, 02, 03, 07, 08 ban hành kèm theo Thông tư số 01/2025/TT-NHNN."
185630,168859,SUA_DOI_BO_SUNG,rule,1.0,"SỬA ĐỔI, BỔ SUNG MỘT SỐ ĐIỀU CỦA THÔNG TƯ SỐ 29/2024/TT-NHNN QUY ĐỊNH VỀ QUỸ TÍN DỤNG NHÂN DÂN"
112924,coquan_bo_tai_chinh,BAN_HANH_BOI,gemini,1.0,BỘ TÀI CHÍNH
112025,nguoiky_nguyen_xuan_phuc,KY_BOI,gemini,1.0,Nguyễn Xuân Phúc
112025,doituongapdung_dai_ly_bao_hiem,AP_DUNG_CHO,gemini,1.0,"c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
112025,doituongapdung_doanh_nghiep_moi_gioi_bao_hiem,AP_DUNG_CHO,gemini,1.0,"c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
112025,doituongapdung_doanh_nghiep_bao_hiem,AP_DUNG_CHO,gemini,1.0,a) Doanh nghiệp bảo hiểm;
112025,doituongapdung_cac_to_chuc_ca_nhan_khac_co_lien_quan,AP_DUNG_CHO,gemini,1.0,"d) Các tổ chức, cá nhân khác có liên quan."
112025,doituongapdung_chi_nhanh_nuoc_ngoai,AP_DUNG_CHO,gemini,1.0,b) Chi nhánh nước ngoài;
112025,coquan_chinh_phu,BAN_HANH_BOI,gemini,1.0,CHÍNH PHỦ
133858,doituongapdung_uy_ban_nhan_dan_cac_tinh_thanh_pho_truc_thuoc_trung_uong,AP_DUNG_CHO,gemini,1.0,"b) Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương;"
133858,doituongapdung_cac_don_vi_su_nghiep_cong_lap,AP_DUNG_CHO,gemini,1.0,c) Các đơn vị sự nghiệp công lập;
133858,doituongapdung_cac_to_chuc_ca_nhan_khac_co_lien_quan_den_hoat_dong_kiem_toan_noi_bo,AP_DUNG_CHO,gemini,1.0,"đ) Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ."
133858,doituongapdung_cac_doanh_nghiep,AP_DUNG_CHO,gemini,1.0,d) Các doanh nghiệp;
133858,doituongapdung_cac_bo_co_quan_ngang_bo_co_quan_thuoc_chinh_phu,AP_DUNG_CHO,gemini,1.0,"a) Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ;"
133858,coquan_chinh_phu,BAN_HANH_BOI,gemini,1.0,CHÍNH PHỦ
117310,nguoiky_nguyen_dong_tien,KY_BOI,gemini,1.0,Nguyễn Đồng Tiến
117310,doituongapdung_ngan_hang,AP_DUNG_CHO,gemini,1.0,"a) Ngân hàng: Ngân hàng thương mại nhà nước, ngân hàng thương mại cổ phần, ngân hàng liên doanh, ngân hàng 100% vốn nước ngoài;"
117310,doituongapdung_chi_nhanh_ngan_hang_nuoc_ngoai,AP_DUNG_CHO,gemini,1.0,b) Chi nhánh ngân hàng nước ngoài.
117310,coquan_ngan_hang_nha_nuoc_viet_nam,BAN_HANH_BOI,gemini,1.0,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM
112924,nguoiky_tran_xuan_ha,KY_BOI,gemini,1.0,Trần Xuân Hà
112924,doituongapdung_to_chuc_kinh_doanh_chung_khoan,AP_DUNG_CHO,gemini,1.0,"Thông tư này áp dụng đối với tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
112924,doituongapdung_quy_dau_tu_chung_khoan,AP_DUNG_CHO,gemini,1.0,"Thông tư này áp dụng đối với tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
112924,doituongapdung_doanh_nghiep_kinh_doanh_bao_hiem,AP_DUNG_CHO,gemini,1.0,"Thông tư này áp dụng đối với tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
112924,doituongapdung_cong_ty_dau_tu_chung_khoan,AP_DUNG_CHO,gemini,1.0,"Thông tư này áp dụng đối với tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
146468,doituongapdung_to_chuc_ca_nhan_viet_nam,AP_DUNG_CHO,gemini,1.0,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài (sau đây gọi chung là tổ chức, cá nhân) thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán quy định tại Nghị định này."
146468,doituongapdung_to_chuc_phat_hanh,AP_DUNG_CHO,gemini,1.0,c) Tổ chức phát hành;
146468,doituongapdung_to_chuc_niem_yet_to_chuc_dang_ky_giao_dich,AP_DUNG_CHO,gemini,1.0,"d) Tổ chức niêm yết, tổ chức đăng ký giao dịch; tổ chức tư vấn niêm yết, đăng ký giao dịch;"
146468,doituongapdung_to_chuc_kiem_toan_duoc_chap_thuan,AP_DUNG_CHO,gemini,1.0,đ) Tổ chức kiểm toán được chấp thuận;
146468,doituongapdung_so_giao_dich_chung_khoan_viet_nam,AP_DUNG_CHO,gemini,1.0,"h) Sở giao dịch chứng khoán Việt Nam và công ty con, Tổng công ty lưu ký và bù trừ chứng khoán Việt Nam;"
146468,doituongapdung_ngan_hang_thuong_mai,AP_DUNG_CHO,gemini,1.0,"k) Ngân hàng thương mại, chi nhánh ngân hàng nước ngoài tại Việt Nam thực hiện hoạt động lưu ký, bù trừ, thanh toán giao dịch chứng khoán; ngân hàng giám sát;"
146468,doituongapdung_doanh_nghiep_nha_nuoc,AP_DUNG_CHO,gemini,1.0,"b) Doanh nghiệp nhà nước, công ty trách nhiệm hữu hạn một thành viên do doanh nghiệp nhà nước nắm giữ 100% vốn điều lệ, đơn vị sự nghiệp công lập cổ phần hóa dưới hình thức chào bán chứng khoán ra công chúng;"
146468,doituongapdung_cong_ty_dai_chung,AP_DUNG_CHO,gemini,1.0,a) Công ty đại chúng;
146468,doituongapdung_cong_ty_chung_khoan_cong_ty_quan_ly_quy_dau_tu_chung_khoan,AP_DUNG_CHO,gemini,1.0,"g) Công ty chứng khoán, công ty quản lý quỹ đầu tư chứng khoán, chi nhánh, văn phòng đại diện công ty chứng khoán, công ty quản lý quỹ nước ngoài tại Việt Nam, công ty đầu tư chứng khoán;"
146468,coquan_chinh_phu,BAN_HANH_BOI,gemini,1.0,CHÍNH PHỦ
143217,nguoiky_do_hoang_anh_tuan,KY_BOI,gemini,1.0,Đỗ Hoàng Anh Tuấn
143217,doituongapdung_cac_doanh_nghiep_quy_dinh_tai_khoan_1_dieu_10_nghi_dinh_so_05_2019_nd_cp_ngay_22_thang_01_nam_2019_cua_chinh_phu_ve_kiem_toan_noi_bo,AP_DUNG_CHO,gemini,1.0,Thông tư này áp dụng đối với các doanh nghiệp quy định tại khoản 1 Điều 10 Nghị định số 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiếm toán nội bộ.
143217,doituongapdung_cac_doanh_nghiep_khong_thuoc_quy_dinh_tai_khoan_1_dieu_nay,AP_DUNG_CHO,gemini,1.0,Các doanh nghiệp không thuộc quy định tại khoản 1 Điều này được khuyến khích xây dựng Quy chế kiểm toán nội bộ trên cơ sở tham chiếu mẫu Quy chế kiểm toán nội bộ ban hành kèm theo Thông tư này.
143217,coquan_bo_tai_chinh,BAN_HANH_BOI,gemini,1.0,BỘ TÀI CHÍNH
133858,nguoiky_nguyen_xuan_phuc,KY_BOI,gemini,1.0,Nguyễn Xuân Phúc
